Sizes, Edges, Path: (A, B), CPU time
1000,1100,1,5,8921992
1000,1200,1,5,8041806
1000,1300,1,5,5879649
1000,1400,1,5,5600724
1000,1500,1,5,6277989
1000,1600,1,5,6743470
1000,1700,1,5,6524399
1000,1800,1,5,7952018
1000,1900,1,5,7845492
1000,2000,1,5,8075872
1000,2100,1,5,9126465
1000,2200,1,5,9440505
1000,2300,1,5,10032961
1000,2400,1,5,10302084
1000,2500,1,5,10011939
1000,2600,1,5,11570464
1000,2700,1,5,12251369
1000,2800,1,5,11545419
1000,2900,1,5,13288720
1000,3000,1,5,11775399
1000,3100,1,5,14144270
1000,3200,1,5,13736641
1000,3300,1,5,14531156
1000,3400,1,5,14903531
1000,3500,1,5,15993920
1000,3600,1,5,16161752
1000,3700,1,5,14351672
1000,3800,1,5,16601235
1000,3900,1,5,15799158
1000,4000,1,5,18392267
1000,4100,1,5,16440629
1000,4200,1,5,18895775
1000,4300,1,5,17518544
1000,4400,1,5,20083089
1000,4500,1,5,18254562
1000,4600,1,5,20710020
1000,4700,1,5,17851690
1000,4800,1,5,20956916
1000,4900,1,5,22199289
1000,5000,1,5,22296850
1000,5100,1,5,23833497
1000,5200,1,5,21330601
1000,5300,1,5,24950759
1000,5400,1,5,21055291
1000,5500,1,5,25362306
1000,5600,1,5,26210495
1000,5700,1,5,24460441
1000,5800,1,5,27122500
1000,5900,1,5,24497014
1000,6000,1,5,27970888
1000,6100,1,5,28242919
1000,6200,1,5,25511955
1000,6300,1,5,30058295
1000,6400,1,5,24057074
1000,6500,1,5,28123398
1000,6600,1,5,30688800
1000,6700,1,5,26885736
1000,6800,1,5,29798563
1000,6900,1,5,32796298
1000,7000,1,5,26326844
1000,7100,1,5,30707976
1000,7200,1,5,33245987
1000,7300,1,5,28675567
1000,7400,1,5,30661392
1000,7500,1,5,34333329
1000,7600,1,5,36263007
1000,7700,1,5,31332638
1000,7800,1,5,34297691
1000,7900,1,5,36061261
1000,8000,1,5,37970161
1000,8100,1,5,31639358
1000,8200,1,5,36047697
1000,8300,1,5,38572126
1000,8400,1,5,39635462
1000,8500,1,5,31867538
1000,8600,1,5,34659244
1000,8700,1,5,36980268
1000,8800,1,5,41290314
1000,8900,1,5,43218064
1000,9000,1,5,34456863
1000,9100,1,5,36236086
1000,9200,1,5,39208159
1000,9300,1,5,41773547
1000,9400,1,5,42678632
1000,9500,1,5,44529916
1000,9600,1,5,46050703
1000,9700,1,5,37226641
1000,9800,1,5,39238618
1000,9900,1,5,40877652
1000,10000,1,5,43450783
1000,10100,1,5,43147465
1000,10200,1,5,45634567
1000,10300,1,5,47111867
1000,10400,1,5,48588036
1000,10500,1,5,49442049
1000,10600,1,5,51352864
1000,10700,1,5,42489170
1000,10800,1,5,41534390
1000,10900,1,5,41788693
1000,11000,1,5,43339972
