Sizes, Edges, Path: (A, B), CPU time
100,1100,1,5,1553625
200,1200,1,5,1628928
300,1300,1,5,3470977
400,1400,1,5,4508184
500,1500,1,5,5204829
600,1600,1,5,3973150
700,1700,1,5,5476527
800,1800,1,5,6449739
900,1900,1,5,7369369
1000,2000,1,5,9355110
1100,2100,1,5,10396249
1200,2200,1,5,11052169
1300,2300,1,5,14434723
1400,2400,1,5,15542073
1500,2500,1,5,18752590
1600,2600,1,5,19479952
1700,2700,1,5,24234877
1800,2800,1,5,22980459
1900,2900,1,5,28917178
2000,3000,1,5,30125276
2100,3100,1,5,33603942
2200,3200,1,5,38537716
2300,3300,1,5,42887677
2400,3400,1,5,36487366
2500,3500,1,5,45924236
2600,3600,1,5,51422086
2700,3700,1,5,56992106
2800,3800,1,5,60677903
2900,3900,1,5,46391389
3000,4000,1,5,51328733
3100,4100,1,5,55477511
3200,4200,1,5,70544948
3300,4300,1,5,61416105
3400,4400,1,5,71630811
3500,4500,1,5,68434803
3600,4600,1,5,91503708
3700,4700,1,5,96019468
3800,4800,1,5,91417529
3900,4900,1,5,106786061
4000,5000,1,5,87323367
4100,5100,1,5,102591224
4200,5200,1,5,118891480
4300,5300,1,5,111387034
4400,5400,1,5,123713833
4500,5500,1,5,121892177
4600,5600,1,5,128320653
4700,5700,1,5,134783364
4800,5800,1,5,142243797
4900,5900,1,5,129389116
5000,6000,1,5,145569770
5100,6100,1,5,128071234
5200,6200,1,5,183534182
5300,6300,1,5,172915354
5400,6400,1,5,185726274
5500,6500,1,5,168522969
5600,6600,1,5,162769271
5700,6700,1,5,178861882
5800,6800,1,5,206732732
5900,6900,1,5,208795407
6000,7000,1,5,198541544
6100,7100,1,5,321181484
6200,7200,1,5,223906735
6300,7300,1,5,219306738
6400,7400,1,5,245595173
6500,7500,1,5,269681987
6600,7600,1,5,237868460
6700,7700,1,5,257334768
6800,7800,1,5,245168934
6900,7900,1,5,243946552
7000,8000,1,5,240909905
7100,8100,1,5,238171576
7200,8200,1,5,291488931
7300,8300,1,5,280852008
7400,8400,1,5,355261796
7500,8500,1,5,254475985
7600,8600,1,5,338618542
7700,8700,1,5,325501993
7800,8800,1,5,366127695
7900,8900,1,5,462718851
8000,9000,1,5,354218350
8100,9100,1,5,372868274
8200,9200,1,5,446743731
8300,9300,1,5,428658537
8400,9400,1,5,403394273
8500,9500,1,5,449849484
8600,9600,1,5,407551492
8700,9700,1,5,412821210
8800,9800,1,5,466215358
8900,9900,1,5,462167000
9000,10000,1,5,602005883
9100,10100,1,5,512505843
9200,10200,1,5,393893431
9300,10300,1,5,522721719
9400,10400,1,5,545833551
9500,10500,1,5,574859366
9600,10600,1,5,482242878
9700,10700,1,5,492366476
9800,10800,1,5,574092179
9900,10900,1,5,663067425
10000,11000,1,5,692915390
